,year,price,transmission,mileage,tax,mpg,engineSize
191,2019,17985,0,8449,145.0,51.4,1.6
192,2017,20485,0,34679,30.0,65.7,2.0
193,2018,16985,1,23860,145.0,60.1,1.0
194,2018,30985,1,21009,145.0,35.8,3.0
195,2019,29985,1,1881,145.0,47.9,2.0
196,2019,27985,1,688,145.0,47.9,2.0
197,2019,30985,1,1863,145.0,47.9,2.0
198,2020,62985,1,10,145.0,33.2,3.0
199,2016,44985,1,49050,325.0,29.4,4.0
200,2019,28985,1,1024,145.0,38.7,2.0
201,2019,24985,1,448,145.0,39.8,2.0
202,2019,26985,1,476,145.0,39.2,2.0
203,2019,39985,1,5201,145.0,38.7,3.0
204,2019,21985,1,2028,145.0,42.2,1.5
205,2019,45485,1,3241,145.0,39.2,3.0
206,2019,33985,1,355,145.0,39.2,2.0
207,2019,28985,1,18,145.0,39.8,2.0
208,2019,29985,1,3122,145.0,41.5,1.5
209,2019,28985,0,824,145.0,40.9,1.5
210,2019,31985,1,2811,145.0,47.9,2.0
211,2019,31985,1,27,145.0,50.4,2.0
212,2019,29485,1,4254,145.0,38.2,2.0
213,2019,17985,1,2252,145.0,48.7,1.0
214,2019,20985,1,3422,145.0,47.9,1.6
215,2019,23685,1,37,145.0,47.9,1.6
216,2019,27985,1,7299,145.0,38.2,2.0
217,2019,27985,1,1414,145.0,40.9,1.5
218,2019,36985,1,5135,145.0,38.2,2.0
219,2019,37985,1,6024,145.0,38.2,2.0
220,2020,37985,1,10,145.0,32.1,2.0
221,2019,49985,1,10,145.0,33.2,3.0
222,2019,59995,1,10,145.0,33.2,3.0
223,2020,47895,1,10,145.0,30.7,2.0
224,2020,31985,1,10,145.0,42.2,2.0
225,2015,29985,1,47606,200.0,47.9,3.0
226,2015,12485,1,26625,30.0,57.6,1.4
227,2018,24985,1,5071,145.0,50.4,2.0
228,2015,21985,1,28011,260.0,34.9,3.0
229,2019,34985,1,10,145.0,47.1,2.0
230,2019,29985,1,10,145.0,51.4,2.0
231,2019,34485,1,10,145.0,47.1,2.0
232,2019,19685,0,10,145.0,49.6,1.0
233,2019,34985,1,10,145.0,53.3,2.0
234,2019,43885,1,10,145.0,38.2,3.0
235,2019,35895,1,2000,145.0,47.9,2.0
236,2019,26985,1,10,145.0,43.5,1.5
237,2019,46985,1,3510,145.0,36.2,3.0
238,2019,23985,1,10,145.0,44.8,1.5
239,2019,28985,1,10,145.0,39.8,2.0
240,2019,27985,1,1010,145.0,39.8,2.0
241,2019,28985,1,500,145.0,47.9,2.0
242,2019,29985,1,10,145.0,42.8,2.0
243,2019,21995,0,10,145.0,54.3,1.6
244,2019,31985,1,10,145.0,39.8,2.0
245,2019,32485,1,10,145.0,51.4,2.0
246,2019,21285,0,10,145.0,51.4,1.6
247,2019,56985,1,1510,145.0,33.2,3.0
248,2019,43785,1,10,145.0,30.1,2.5
249,2016,18498,1,29845,160.0,45.6,2.0
250,2014,14995,1,27355,160.0,42.8,1.8
251,2016,17998,0,20885,30.0,64.2,2.0
252,2014,10985,1,10534,30.0,56.5,1.2
253,2016,12995,0,25895,20.0,70.6,2.0
254,2016,11495,0,32867,0.0,67.3,1.0
255,2015,18295,1,42793,205.0,47.1,2.0
256,2015,18998,1,49039,160.0,50.4,3.0
257,2017,18485,0,22501,145.0,64.2,1.6
258,2017,38985,1,1420,145.0,50.4,3.0
259,2019,29485,1,10,145.0,40.4,2.0
260,2017,22998,1,26939,145.0,62.8,2.0
261,2014,18998,1,24786,205.0,47.9,3.0
262,2017,17698,0,18761,145.0,51.4,1.4
263,2019,27995,1,10,145.0,40.4,2.0
264,2019,31985,0,10,145.0,42.8,2.0
265,2019,30995,1,10,145.0,38.7,2.0
266,2017,18998,1,22295,30.0,56.5,1.4
267,2017,16995,0,18068,145.0,52.3,1.4
268,2018,19995,0,25000,150.0,42.2,1.5
269,2017,14495,0,23043,150.0,55.4,1.0
270,2014,12998,1,80902,125.0,60.1,2.0
271,2019,32485,1,10,145.0,50.4,2.0
272,2019,20485,0,10,145.0,48.7,1.0
273,2019,34485,1,10,145.0,47.1,2.0
274,2016,18698,0,26474,145.0,52.3,2.0
275,2013,15998,1,65458,235.0,44.1,3.0
276,2018,16498,0,34170,150.0,47.1,1.8
277,2019,31998,1,100,145.0,33.2,2.0
278,2019,35985,1,650,145.0,47.1,2.0
279,2019,37985,1,10,145.0,38.2,2.0
280,2019,31998,1,10,145.0,33.2,2.0
281,2019,18998,0,2928,145.0,41.5,2.0
282,2018,19485,0,7157,145.0,51.4,1.4
283,2016,19995,1,31600,160.0,50.4,2.0
284,2016,47995,1,46600,300.0,39.2,4.0
285,2019,23485,0,10,145.0,56.5,2.0
286,2018,23998,1,14078,145.0,45.6,2.0
